month,mrr_usd,churn_rate_pct,signups,cac_usd
2024-01,42000,4.8,310,85
2024-02,42900,4.7,325,84
2024-03,43800,4.6,318,86
2024-04,44700,4.5,340,83
2024-05,45600,4.4,352,82
2024-06,46800,4.3,360,80
2024-07,47700,4.2,375,79
2024-08,48900,4.1,382,78
2024-09,50100,3.9,400,77
2024-10,54600,3.7,520,74
2024-11,59700,3.4,610,72
2024-12,65400,3.2,690,70
2025-01,71400,3.0,780,68
2025-02,78000,2.8,860,66
2025-03,85200,2.6,2600,64
2025-04,93000,2.4,1080,63
2025-05,101400,2.2,1250,61
2025-06,110400,2.1,1450,60
